filename	reads	bases	perc_gc	non_acgt
reads/qc/BR02B02.fastq.gz	2832562	171020660	51.5	1311724
reads/qc/BR02A07.fastq.gz	3016576	179852891	51.9	1398783
reads/qc/BR02A04.fastq.gz	3112454	192405019	51.6	1398437
reads/qc/BR02B03.fastq.gz	2531492	149869394	52.1	1176418
reads/qc/BR02B04.fastq.gz	2893744	167214319	52.4	1357284
reads/qc/BR01F01.fastq.gz	5835870	388211027	51.9	2372983
reads/qc/BR02A08.fastq.gz	4308110	255639325	51.8	2008872
reads/qc/BR02B05.fastq.gz	3266778	188545310	52.4	1528869
reads/qc/BR01H10.fastq.gz	4327662	283543200	52.4	1776300
reads/qc/BR01G10.fastq.gz	5247498	339979111	52.5	2233123
reads/qc/BR02B06.fastq.gz	2539722	152355158	51.7	1173865
reads/qc/BR02C02.fastq.gz	1667272	98241452	51.8	780190
reads/qc/BR02C07.fastq.gz	1969732	112319299	52.7	922808
reads/qc/BR02B08.fastq.gz	3410006	194383827	52.1	1612215
reads/qc/BR01D07.fastq.gz	10538966	705899385	52.1	4306659
reads/qc/BR02C01.fastq.gz	2267348	140915187	51.5	1006183
reads/qc/BR02B12.fastq.gz	2693012	153066385	52.4	1267952
reads/qc/BR02A05.fastq.gz	3663754	214320006	51.8	1719929
reads/qc/BR02B09.fastq.gz	3399128	195761403	52.7	1596629
reads/qc/BR01H09.fastq.gz	5966176	397874005	52.2	2377890
reads/qc/BR02B10.fastq.gz	3176272	182883868	52.3	1496595
reads/qc/BR01G01.fastq.gz	6949060	461171617	50.8	2870998
reads/qc/BR02C04.fastq.gz	2834248	169727831	52.2	1309068
reads/qc/BR02C03.fastq.gz	2784714	167033406	52.0	1287664
reads/qc/BR02D04.fastq.gz	1490792	86171833	52.5	696495
reads/qc/BR02B11.fastq.gz	3480354	201617409	52.5	1634668
reads/qc/BR02C06.fastq.gz	3042452	174135073	52.6	1432735
reads/qc/BR02C05.fastq.gz	2985224	180385467	52.3	1371431
reads/qc/BR02C09.fastq.gz	2890784	167193094	52.7	1356576
reads/qc/BR02D03.fastq.gz	2724232	159506747	52.1	1268603
reads/qc/BR02C08.fastq.gz	3315576	190544481	52.5	1562689
reads/qc/BR01H08.fastq.gz	7026584	468633985	52.2	2808213
reads/qc/BR02D01.fastq.gz	3213588	192799429	52.2	1467931
reads/qc/BR02D05.fastq.gz	3228142	186054928	52.8	1505580
reads/qc/BR02D02.fastq.gz	3471886	207806494	52.1	1600199
reads/qc/BR02D07.fastq.gz	2792520	161175034	52.7	1295797
reads/qc/BR02C11.fastq.gz	3174440	182645767	52.5	1498441
reads/qc/BR02D06.fastq.gz	3472812	202161177	52.3	1621186
reads/qc/BR02D10.fastq.gz	2771858	161057069	52.4	1293434
reads/qc/BR02E06.fastq.gz	2672220	156860365	52.2	1237436
reads/qc/BR02E04.fastq.gz	3179050	182843780	52.4	1491128
reads/qc/BR02E03.fastq.gz	2985984	181318526	51.9	1351771
reads/qc/BR02D12.fastq.gz	3032018	179884414	52.3	1411789
reads/qc/BR02D09.fastq.gz	3559950	202784942	52.7	1665324
reads/qc/BR02D08.fastq.gz	3895266	222247214	52.7	1822367
reads/qc/BR02E07.fastq.gz	2936066	178638194	51.6	1350808
reads/qc/BR02C12.fastq.gz	5197388	298495155	52.4	2449001
reads/qc/BR02F02.fastq.gz	2259258	132344533	52.3	1049184
reads/qc/BR02E05.fastq.gz	3353560	204523540	52.1	1515954
reads/qc/BR02E10.fastq.gz	3021758	174550811	52.7	1405575
reads/qc/BR02F03.fastq.gz	1917412	110624103	52.4	888550
reads/qc/BR02A01.fastq.gz	10561100	632242190	51.7	4926438
reads/qc/BR02E09.fastq.gz	3183684	184123450	52.6	1487849
reads/qc/BR02F07.fastq.gz	1992906	113826769	52.6	924567
reads/qc/BR02F01.fastq.gz	2955078	178173931	51.9	1327837
reads/qc/BR02E12.fastq.gz	3390112	193557823	52.4	1598937
reads/qc/BR02F11.fastq.gz	1595102	93017753	52.4	741484
reads/qc/BR02F08.fastq.gz	2219206	125511841	52.9	1035763
reads/qc/BR02D11.fastq.gz	5105886	292186523	52.6	2402208
reads/qc/BR02F04.fastq.gz	3120290	183729409	52.2	1440282
reads/qc/BR02E11.fastq.gz	4021570	240687114	52.2	1842670
reads/qc/BR02E08.fastq.gz	3091848	177695197	52.7	1428791
reads/qc/BR02F10.fastq.gz	2004216	118093123	52.3	929716
reads/qc/BR02F05.fastq.gz	3668870	208527606	52.7	1718708
reads/qc/BR02F06.fastq.gz	3669512	208430951	52.7	1715258
reads/qc/BR02G05.fastq.gz	1872364	114901938	51.5	862169
reads/qc/BR02G07.fastq.gz	2628286	151831264	52.3	1223305
reads/qc/BR02G04.fastq.gz	3119394	179774523	52.4	1460654
reads/qc/BR02H07.fastq.gz	1242794	71802658	52.0	577583
reads/qc/BR02E02.fastq.gz	6241882	398488248	51.4	2710703
reads/qc/BR02F12.fastq.gz	3308242	189553893	52.7	1548310
reads/qc/BR02G08.fastq.gz	2885792	165375952	52.5	1349131
reads/qc/BR02G03.fastq.gz	3557006	205035195	52.2	1663259
reads/qc/BR02H04.fastq.gz	2280664	130324811	52.0	1067510
reads/qc/BR02H09.fastq.gz	2157124	123563309	52.2	1006298
reads/qc/BR02H08.fastq.gz	2062486	119802225	52.0	959998
reads/qc/BR02E01.fastq.gz	7256948	451501424	51.3	3185931
reads/qc/BR02G02.fastq.gz	4051526	237569979	51.9	1889997
reads/qc/BR02G11.fastq.gz	3025298	188733494	51.7	1366479
reads/qc/BR02H11.fastq.gz	1828434	113583862	51.6	816596
reads/qc/BR02H03.fastq.gz	3286682	189080584	52.3	1531026
reads/qc/BR02H10.fastq.gz	2337296	139607311	52.1	1078140
reads/qc/BR02H06.fastq.gz	2910476	168477834	52.0	1352319
reads/qc/BR02G06.fastq.gz	3918396	223906288	52.6	1828445
reads/qc/BR02G10.fastq.gz	3514892	222741427	51.3	1574463
reads/qc/BR02H02.fastq.gz	3524202	203996886	51.9	1634878
reads/qc/BR03A07.fastq.gz	1702886	99564814	51.6	795713
reads/qc/BR03A04.fastq.gz	1988830	116933994	51.9	927002
reads/qc/BR02G12.fastq.gz	3791930	229456883	51.9	1735882
reads/qc/BR03A03.fastq.gz	2374252	139680774	51.5	1115220
reads/qc/BR02G01.fastq.gz	6350414	369150965	50.9	2987955
reads/qc/BR03A10.fastq.gz	2576836	148990270	52.1	1213816
reads/qc/BR03B01.fastq.gz	2100602	124866528	51.7	978334
reads/qc/BR03B04.fastq.gz	1818812	110893489	52.0	830805
reads/qc/BR03B03.fastq.gz	2381248	141328866	52.1	1110589
reads/qc/BR03A05.fastq.gz	3051194	182956904	51.0	1420113
reads/qc/BR03A09.fastq.gz	2728582	158455576	52.1	1280138
reads/qc/BR03A11.fastq.gz	3307494	193433682	52.0	1559186
reads/qc/BR03B09.fastq.gz	2364484	135091522	52.8	1114318
reads/qc/BR03B07.fastq.gz	2731720	155622224	52.6	1284583
reads/qc/BR03A12.fastq.gz	3203410	199985795	50.6	1476697
reads/qc/BR03B02.fastq.gz	2256602	137383206	51.6	1040662
reads/qc/BR03B05.fastq.gz	2737456	159591625	52.2	1280601
reads/qc/BR03B10.fastq.gz	2389768	135666928	52.5	1133669
reads/qc/BR03A06.fastq.gz	3574938	231563792	50.3	1568186
reads/qc/BR02H05.fastq.gz	5493782	319330309	51.9	2549399
reads/qc/BR03B06.fastq.gz	2801072	165104311	52.1	1304063
reads/qc/BR03A08.fastq.gz	4018740	230475993	52.1	1897656
reads/qc/BR02F09.fastq.gz	9335694	534740070	52.8	4350617
reads/qc/BR03B11.fastq.gz	3571514	206946274	52.4	1678995
reads/qc/BR03B12.fastq.gz	2931658	173670346	52.2	1364368
reads/qc/BR03A01.fastq.gz	5082456	335803404	50.9	2155193
reads/qc/BR03C01.fastq.gz	2953422	168642065	52.0	1392037
reads/qc/BR03C04.fastq.gz	2172902	127690504	52.4	1011286
reads/qc/BR03C05.fastq.gz	2818030	163442706	52.6	1318277
reads/qc/BR03C02.fastq.gz	3384716	213892898	51.4	1507609
reads/qc/BR03C10.fastq.gz	2186844	124614659	52.9	1030394
reads/qc/BR03C03.fastq.gz	3427624	203496985	52.2	1596705
reads/qc/BR03C06.fastq.gz	3186582	181214172	52.7	1502535
reads/qc/BR03C09.fastq.gz	3288000	187773125	52.8	1549939
reads/qc/BR03C11.fastq.gz	2511222	145001540	52.4	1183408
reads/qc/BR03D07.fastq.gz	2030432	117416555	52.5	947815
reads/qc/BR03D04.fastq.gz	2618760	151636004	52.5	1226369
reads/qc/BR03C07.fastq.gz	3915882	222380056	52.8	1841131
reads/qc/BR03D01.fastq.gz	3006392	172369866	52.6	1408994
reads/qc/BR03C12.fastq.gz	3180124	185045206	52.3	1492819
reads/qc/BR03D06.fastq.gz	2527232	153709929	51.8	1161340
reads/qc/BR03D02.fastq.gz	3437108	197776773	52.5	1614012
reads/qc/BR03B08.fastq.gz	5795860	327395810	52.4	2750624
reads/qc/BR03C08.fastq.gz	4837412	275428251	52.5	2286154
reads/qc/BR03D05.fastq.gz	3245168	187032943	52.6	1513029
reads/qc/BR03D11.fastq.gz	2916494	167148918	52.5	1376409
reads/qc/BR03E07.fastq.gz	1573588	91592168	51.9	740979
reads/qc/BR03D12.fastq.gz	2225620	136054885	51.8	1022036
reads/qc/BR03E01.fastq.gz	2602142	149483004	51.9	1225476
reads/qc/BR03D10.fastq.gz	3198582	192711114	52.0	1475725
reads/qc/BR03E10.fastq.gz	1943260	108055594	53.1	920973
reads/qc/BR03E06.fastq.gz	2142640	121052299	52.7	1011957
reads/qc/BR03E02.fastq.gz	2855328	175469778	51.7	1305253
reads/qc/BR03E12.fastq.gz	2035140	116495035	52.3	957667
reads/qc/BR03F01.fastq.gz	1910314	109212534	52.6	895456
reads/qc/BR03E04.fastq.gz	2753798	167877460	51.7	1252057
reads/qc/BR03E05.fastq.gz	3038604	170984386	52.8	1435496
reads/qc/BR03E09.fastq.gz	2527010	142738406	52.7	1191840
reads/qc/BR03F02.fastq.gz	2110016	120047468	52.6	990428
reads/qc/BR03D03.fastq.gz	5071486	291126832	52.3	2386506
reads/qc/BR02C10.fastq.gz	19308348	1136442411	52.4	8991656
reads/qc/BR03F10.fastq.gz	1651302	94733010	52.6	775424
reads/qc/BR03E11.fastq.gz	2989898	166267752	52.9	1414310
reads/qc/BR03F11.fastq.gz	1676226	95382119	52.7	787860
reads/qc/BR03F03.fastq.gz	2323050	139609834	52.1	1051279
reads/qc/BR03F04.fastq.gz	2400524	137989714	52.5	1121593
reads/qc/BR03F07.fastq.gz	2291846	128057746	52.8	1069642
reads/qc/BR03G04.fastq.gz	1506648	85659706	52.3	710150
reads/qc/BR03F06.fastq.gz	2644672	148467402	52.7	1239693
reads/qc/BR03G03.fastq.gz	2007606	117112720	52.1	938776
reads/qc/BR03G02.fastq.gz	2037202	117574684	52.1	955580
reads/qc/BR03G10.fastq.gz	1409248	81986369	52.2	660302
reads/qc/BR03F09.fastq.gz	2821124	158593661	52.8	1325385
reads/qc/BR03G05.fastq.gz	1833226	112595856	51.2	847248
reads/qc/BR03F08.fastq.gz	2545686	143035017	52.9	1196460
reads/qc/BR03F12.fastq.gz	2083048	119563973	52.5	978849
reads/qc/BR03G06.fastq.gz	2223344	123310396	52.7	1048673
reads/qc/BR03G07.fastq.gz	1743136	100563374	52.1	813396
reads/qc/BR03G09.fastq.gz	1650044	100847793	51.5	762342
reads/qc/BR03F05.fastq.gz	3201172	179070935	52.8	1506413
reads/qc/BR03G12.fastq.gz	2119326	118251878	52.5	1006016
reads/qc/BR03G11.fastq.gz	1843568	104145847	52.3	873030
reads/qc/BR03G08.fastq.gz	2321598	130403742	52.5	1095493
reads/qc/BR03H02.fastq.gz	2311632	134423095	51.9	1073558
reads/qc/BR03H04.fastq.gz	2396096	138247053	51.9	1122945
reads/qc/BR04A03.fastq.gz	1631528	109834250	50.0	1650159
reads/qc/BR03H11.fastq.gz	1782736	100919336	52.4	840051
reads/qc/BR03D09.fastq.gz	6958366	401293983	52.5	3267912
reads/qc/BR03H03.fastq.gz	2702830	161311535	51.7	1237781
reads/qc/BR03H05.fastq.gz	1971628	115803214	51.7	911612
reads/qc/BR03H06.fastq.gz	2558022	147394213	52.1	1196735
reads/qc/BR03H07.fastq.gz	2748768	155395438	51.7	1289309
reads/qc/BR03H10.fastq.gz	2053992	125772267	51.6	928306
reads/qc/BR03H08.fastq.gz	2875388	167720860	51.6	1330927
reads/qc/BR03G01.fastq.gz	5120236	310954261	50.9	2340291
reads/qc/BR04A08.fastq.gz	1979520	127988491	51.0	2050661
reads/qc/BR04A04.fastq.gz	2851828	184410098	51.2	2982088
reads/qc/BR04A12.fastq.gz	2374908	166510318	49.5	2591572
reads/qc/BR03D08.fastq.gz	10859998	614742025	52.8	5135538
reads/qc/BR04A05.fastq.gz	3744948	243617107	50.5	3885909
reads/qc/BR04A01.fastq.gz	3188978	207511657	50.8	3323426
reads/qc/BR04B01.fastq.gz	2746812	171661586	49.9	2787964
reads/qc/BR04B02.fastq.gz	2194224	143178777	50.6	2275359
reads/qc/BR04A02.fastq.gz	2970634	201848715	49.6	3135927
reads/qc/BR03A02.fastq.gz	13497434	962116270	48.3	5321036
reads/qc/BR04A06.fastq.gz	4205536	283058657	50.5	4456013
reads/qc/BR04B04.fastq.gz	2810110	178305468	51.0	2893581
reads/qc/BR04A07.fastq.gz	4373512	283207585	50.9	4484757
reads/qc/BR04C01.fastq.gz	2553324	161908508	50.3	2658505
reads/qc/BR02G09.fastq.gz	18893268	1180594997	51.5	8579152
reads/qc/BR04A09.fastq.gz	5406274	356760327	50.9	5660206
reads/qc/BR04B05.fastq.gz	4495842	281726904	50.9	4574723
reads/qc/BR04B07.fastq.gz	4580044	290194316	50.3	4694087
reads/qc/BR03E03.fastq.gz	13087534	774317910	52.1	6068968
reads/qc/BR03H09.fastq.gz	8569894	476530582	52.0	4053000
reads/qc/BR04C02.fastq.gz	3431078	220335983	50.7	3596213
reads/qc/BR04B06.fastq.gz	5081054	316910202	50.8	5175935
reads/qc/BR04B08.fastq.gz	5568874	345320541	49.9	5646322
reads/qc/BR04C03.fastq.gz	4602624	295571919	49.7	4803779
reads/qc/BR04B10.fastq.gz	5601228	361382296	50.5	5873333
reads/qc/BR04C05.fastq.gz	4577626	290792134	50.2	4705562
reads/qc/BR04A10.fastq.gz	6154450	441377542	50.0	6763479
reads/qc/BR04A11.fastq.gz	7141848	486439181	50.5	7697966
reads/qc/BR04C07.fastq.gz	3745400	245010813	50.4	3932452
reads/qc/BR04B09.fastq.gz	6115768	385776483	50.4	6241298
reads/qc/BR03E08.fastq.gz	15082672	836776036	53.0	7107331
reads/qc/BR04B11.fastq.gz	6392680	395744100	51.2	6478348
reads/qc/BR04B03.fastq.gz	6869838	447579512	50.6	7206110
reads/qc/BR04C08.fastq.gz	5741106	357363813	50.4	5882398
reads/qc/BR04C04.fastq.gz	5336004	346746120	49.1	5569882
reads/qc/BR04C11.fastq.gz	5399962	332142527	50.6	5522180
reads/qc/BR04C12.fastq.gz	5141120	321655787	49.9	5328859
reads/qc/BR04C10.fastq.gz	6158198	393674828	48.7	6437771
reads/qc/BR04B12.fastq.gz	7675210	478957712	49.7	7814232
reads/qc/BR04D03.fastq.gz	4425914	272435632	51.1	4516394
reads/qc/BR04D02.fastq.gz	4761754	301192696	50.7	4908436
reads/qc/BR04C09.fastq.gz	7143026	464244572	50.0	7465150
reads/qc/BR04C06.fastq.gz	8723530	535825246	49.7	8768302
reads/qc/BR04D01.fastq.gz	6041142	386780312	49.2	6359002
reads/qc/BR04E03.fastq.gz	3812600	245017311	50.8	3941143
reads/qc/BR04E06.fastq.gz	4058868	258004907	50.4	4229047
reads/qc/BR04D08.fastq.gz	5200082	321152477	51.0	5298575
reads/qc/BR04D11.fastq.gz	4747648	299826570	51.1	4956501
reads/qc/BR04D12.fastq.gz	4943300	321007048	50.8	5235879
reads/qc/BR04D04.fastq.gz	6712810	423792898	50.9	6867207
reads/qc/BR04E02.fastq.gz	5175892	331237054	49.5	5429182
reads/qc/BR04D06.fastq.gz	6745942	432522365	49.4	7054298
reads/qc/BR04D09.fastq.gz	5617520	363531131	50.3	5829055
reads/qc/BR04D10.fastq.gz	5990666	375747174	50.5	6162237
reads/qc/BR04D07.fastq.gz	6040510	387516809	50.5	6260893
reads/qc/BR04E01.fastq.gz	6222702	392043051	49.2	6433825
reads/qc/BR04F02.fastq.gz	2907186	178798996	51.0	2941344
reads/qc/BR04F03.fastq.gz	2828350	175856285	50.0	2880982
reads/qc/BR04E08.fastq.gz	4965626	310087727	50.2	5103564
reads/qc/BR04E10.fastq.gz	4720384	298356578	50.7	4878180
reads/qc/BR04F04.fastq.gz	3455974	220301988	51.0	3610809
reads/qc/BR04E12.fastq.gz	4116056	256759803	50.5	4298195
reads/qc/BR04E05.fastq.gz	5951836	378555152	49.9	6188680
reads/qc/BR04E09.fastq.gz	5542098	364822152	49.2	5900571
reads/qc/BR04F01.fastq.gz	5017254	307524760	50.1	5114497
reads/qc/BR04D05.fastq.gz	7185434	459761525	49.9	7421756
reads/qc/BR04E07.fastq.gz	6030340	388318522	49.9	6333553
reads/qc/BR04E11.fastq.gz	5581808	356381143	50.7	5868654
reads/qc/BR04F05.fastq.gz	4871104	309125571	50.7	5057727
reads/qc/BR04F09.fastq.gz	3735060	236445427	51.0	3878179
reads/qc/BR04F06.fastq.gz	4270374	277837511	50.0	4468559
reads/qc/BR04H12.fastq.gz	2374	167919	45.0	2503
reads/qc/BR04F12.fastq.gz	4749928	296131424	51.0	4877001
reads/qc/BR04G04.fastq.gz	3957982	253946194	50.5	4137618
reads/qc/BR04G05.fastq.gz	3623122	237466153	49.9	3898957
reads/qc/BR06A04.fastq.gz	9040	550655	52.0	4500
reads/qc/BR04G06.fastq.gz	3999856	243801611	51.2	4080266
reads/qc/BR04F10.fastq.gz	4708788	305284174	50.7	4957683
reads/qc/BR04G07.fastq.gz	3855932	246005408	50.5	4074907
reads/qc/BR04H04.fastq.gz	3509130	213354420	51.4	3582233
reads/qc/BR04E04.fastq.gz	9069696	635388639	47.8	9928181
reads/qc/BR06A10.fastq.gz	13862	893491	51.4	6495
reads/qc/BR04F11.fastq.gz	5564088	343158162	50.6	5680711
reads/qc/BR04H09.fastq.gz	2902046	185121784	50.2	3031167
reads/qc/BR04H07.fastq.gz	3109782	199069147	48.8	3264392
reads/qc/BR04H06.fastq.gz	3251342	202855750	50.6	3355978
reads/qc/BR06A01.fastq.gz	1546418	90902188	52.9	794718
reads/qc/BR04G10.fastq.gz	4506364	293203897	50.3	4799504
reads/qc/BR04F08.fastq.gz	5345802	333790098	50.9	5442217
reads/qc/BR04G01.fastq.gz	5589362	347087308	49.9	5740646
reads/qc/BR04G11.fastq.gz	4686294	284908160	50.8	4808068
reads/qc/BR04H08.fastq.gz	3189024	200156536	50.2	3322829
reads/qc/BR04G08.fastq.gz	5164220	320705490	50.4	5368532
reads/qc/BR04H03.fastq.gz	3992684	248415108	50.3	4102784
reads/qc/BR04G02.fastq.gz	5920328	375154251	50.7	6245296
reads/qc/BR04H05.fastq.gz	4465010	280217032	50.2	4624009
reads/qc/BR04G12.fastq.gz	5208662	313762016	50.5	5289252
reads/qc/BR04G09.fastq.gz	5394396	363228953	49.9	5902271
reads/qc/BR04H11.fastq.gz	2082378	129643091	50.5	2177029
reads/qc/BR04H10.fastq.gz	2680686	167441975	50.5	2746101
reads/qc/BR06A06.fastq.gz	2319692	141148919	52.7	1183139
reads/qc/BR06B05.fastq.gz	1435082	86768638	53.5	731217
reads/qc/BR06A05.fastq.gz	2482038	151471663	52.9	1252356
reads/qc/BR06A08.fastq.gz	2699400	162601487	52.0	1381795
reads/qc/BR06B03.fastq.gz	2071030	124041282	52.6	1057250
reads/qc/BR06A03.fastq.gz	3590164	216648982	53.2	1803536
reads/qc/BR06A12.fastq.gz	2743696	173619768	51.8	1329559
reads/qc/BR06A07.fastq.gz	3490130	209435575	53.1	1767029
reads/qc/BR06B02.fastq.gz	3041144	183764001	52.2	1569685
reads/qc/BR06B12.fastq.gz	2318802	140662073	52.0	1180110
reads/qc/BR06C05.fastq.gz	2039244	123796786	52.8	1037467
reads/qc/BR06C03.fastq.gz	2251624	140518056	50.1	1134642
reads/qc/BR06B07.fastq.gz	2795466	164453917	52.2	1448550
reads/qc/BR04G03.fastq.gz	8305502	520680968	50.6	8615840
reads/qc/BR06B09.fastq.gz	3046102	179512358	53.6	1582713
reads/qc/BR06B06.fastq.gz	3139886	193530236	52.1	1601016
reads/qc/BR06C04.fastq.gz	2335578	141389266	52.4	1185709
reads/qc/BR06B01.fastq.gz	3631126	223783765	53.2	1875977
reads/qc/BR06A09.fastq.gz	4332934	282076214	52.4	2079251
reads/qc/BR06C10.fastq.gz	2758140	160109727	53.1	1434996
reads/qc/BR06C09.fastq.gz	2767754	178189327	52.1	1312958
reads/qc/BR06C11.fastq.gz	2981896	175060226	53.4	1569326
reads/qc/BR06C01.fastq.gz	3987072	239392798	53.1	2047826
reads/qc/BR06A11.fastq.gz	5579470	336335784	53.3	2879180
reads/qc/BR06C12.fastq.gz	2597582	155939771	52.9	1311893
reads/qc/BR06C06.fastq.gz	3804242	227086320	51.9	1967237
reads/qc/BR06C07.fastq.gz	3950486	236866682	51.4	2021376
reads/qc/BR06B11.fastq.gz	4764078	306717572	52.6	2279584
